likes,body,time
0,"Добрый вечер) хочу поменять место работы. Дайте совет ,куда податься чтоб получать хотя б 25 , образование средне профессиональное( технарь).девушка 24. Анонимно.",1530707445
0,С праздниками!🍻😂,1530699317
0,"Кто уже  отдыхал этим летом ?) куда ездили ?) бросайте фото ) сижу в душном офисе ....Завидую отдыхающим белой завистью
Анон",1530697190
0,"Как же ничтожны ""мужчины"", клянчащие сигарету. Проси уж сразу милостыню, только я и её не подам раз ты не имея финансовой возможности продолжаешь курить.",1530696905
0,"Друзья, попал в дтп. Оформили европоткол.  Страховая говорит, что справка из ГИБДД не нужна и в страховую можно идти без неё, бывалые водители говорят, что нужна. Разьясните, нужна ли справка из ГИБДД?  Анон. Всем добра)",1530696723
0,"Сегодня своими глазами первый раз видел, как сотрудники ДПС остановили двух велосипедистов, пересекавших пешеходный переход на своих транспортных средствах.",1530623289
0,"Сегодня одна добрая, милая женщина подвезла нас с ребёнком до ближайшей остановки, просто проезжала мимо и решила нас подбросить. Хочу ей огромное спасибо сказать, я в очередной раз убедилась , что этот мир прекрасен и в нем есть светлые чуткие люди! И пусть она сделала не большое добро,но и это , в нашем жестоком мире , практически чудо! Счастья ей, и всем таким же хорошим людям!",1530623034
0,"Дорогие друзья, подскажите, как быть. Муж не дарит мне подарков. Никаких. Давно. Намекала,он не понял. Как лучше поговорить? Прямо сказать подумает что обнаглела.",1530622885
0,"Нашел телефон, вернул владельцу, а тот даже спасибо не сказал. Приехал, забрал телефон и попрощался. Это вообще нормально? Вот и делай добро таким какашкам.",1530622823
0,"Как можно не отпускать, запрещать вторым половинкам отдыхать с друзьями. У нac с мужем выходные разделены: в пятницу oн гуляет с друзьями, в субботу - я с девчонками отрываюсь, в воскресение вмecтe вceй семьёй, убираемся, купаемся, навещаем родителей, ходим в кино, в театр или еще куда-нибудь. Мы счастливы! Отдыхать дрyг oт друга-тоже надо. Как вы считаете?",1530622756
0,"Приятного аппетита! Угадайте что за рыба у меня на обед?
Анон😊",1530622673
0,"Как говорится люди всегда чем то недовольны. Одни радуются победе нашей сборной на чемпионате, другие их упрекают, мол, в стране чертичто творится, а они футболом довольствуются. Да научитесь вы радоваться хоть немного! Проблемы никуда не денутся, а радость от хороших новостей быстро теряется в ежедневных делах и потоке информации.",1530622552
0,"Доброго утра всем. Сразу к вопросу, как нужно общаться с особью женского пола? Почему пишешь ей пишешь, а в итоге просто молчит? Это что такое? ЧС сильно завышен? Или что?",1530600328
0,"Вот и пролетел первый месяц лета. 
Делитесь фотографиями, как вы провели июнь месяц?",1530600177
0,Есть ли смысл обратиться в брачное агенство? Я отчаился и не могу найти девушку.,1530600016
0,"Никoгдa нe понимала.. Вce эти кольца, цветы, надписи нa асфальте - неужели этo доказательство любви?! Вcя эта ненужная, чисто символическая х**нь, вce эти понты? Встать в 6 утра и повезти любимую нa работу пo пробкам, кoгдa самому никуда нe нaдo - вoт этo подвиг!",1530599201
0,Кто подскажет какой открыть прибыльный  бизнес с 200т.руб? Или пропить все. Анон,1530598793
0,"А вы представляете на сколько и во сколько поднялись в цене наши футболисты. Если пройдут в четверть, то там уже некоторых точно ждут контракты и не в нашей стране",1530598708
0,"Привет люди, солнечная пора наступила 😂 где вы любите отдыхать на природе? Какие есть у вас любимые места, думаю многим пригодятся здесь. Всем хорошего летнего отдыха🙏😎",1530597910
