likes,body,time
74,"Утечка официальных пресс-рендеров Galaxy S20 подтвердила, что Samsung радикально изменила подход к дизайну своих флагманов.
 
Прощайте гнутые экраны, кнопка Bixby и датчик сердечного ритма рядом с камерой.",1579861784
314,"Представитель студии ZA/UM в России заявил, что Disco Elysium переведут на русский язык до конца этого года.

Впрочем, точных сроков он не назвал — всё же текста там очень много.",1579859685
93,"Джефф Каплан заявил, что системы банов героев в Overwatch не будет — вместо этого Blizzard хочет предложить игрокам другую систему, которая поможет избежать застоя меты. 

О ней расскажут на следующей неделе в блоге разработчиков.",1579859460
24,"Новые вакансии в геймдеве — на dtf.ru/job.
Разместить вакансию — dtf.ru/job/new. 

Москва
Middle+ Unity 3D Developer в Freeway Games dtf.ru/96146
QA Engineer для мобильной игры в Zavod Games dtf.ru/95755
3D-аниматор в Banzai Games dtf.ru/95416
Промо-художник в Banzai Games dtf.ru/95413
Концепт-художник (персонажи) в Banzai Games dtf.ru/95412
Senior Unity Developer (Unity 3D) в Banzai Games dtf.ru/95411
Ведущий гейм-дизайнер (кор-геймплей) в Banzai Games dtf.ru/95409
2D-артист в Kometa.Games dtf.ru/94017
3D-моделлер на мобильный RPG-проект в Kometa.Games dtf.ru/94015

Санкт-Петербург
Game Producer гипер-казуальных игр в «Фотострану» dtf.ru/95402
Senior Game Designer в «Фотострану» dtf.ru/85467

Новосибирск
Digital-маркетолог в Alawar dtf.ru/95909
Publishing game producer в Alawar dtf.ru/95913

Чтобы узнавать о новых вакансиях по вашей специальности, подписывайтесь на Telegram-бот: @dtfjob_bot

#вакансии",1579858620
393,"Plague Inc. вошла в топ App Store на фоне вспышки коронавируса — среди платных приложений игра сейчас на первом месте в Китае и России. 

Разработчики при этом получают множество вопросов о новом вирусе.",1579858124
220,"Рассказываем о самых важных (не обязательно лучших) играх десятилетия. Список получился очень большой, и в нём есть как очевидный Fortnite, так и, например, Limbo.

Впрочем, и от скандальных игр вроде Andromeda никуда не деться — их мы тоже запомним надолго.",1579857371
250,"«Маяк» получил номинацию на «Оскар» за операторскую работу, но звук в фильме заслуживает не меньшего внимания — именно он создаёт его тягостную, некомфортную атмосферу.

Выбрали главное из интервью со звукорежиссёром «Маяка»: о том, как через звук передавали отрешённость и замкнутость героев и как всё-таки записывали пердёж Уиллема Дефо.",1579853760
27,"DTF LIVE: Кодзима и «Последнее, чего он хотел»",1579853515
110,"Для Disco Elysium вышло первое обновление, которое добавило в игру хардкорный уровень сложности и поддержку ultrawide-мониторов.

В новом режиме у персонажа будет значительно меньше денег и ресурсов, а проблемы с алкоголем и наркотиками усугубятся.",1579853362
63,"В марте создатели Rocket League прекратят поддержку игры на macOS и Linux. 

Последний патч отключит на этих платформах онлайн-функции, вроде внутриигровых покупок. Матчи по локальной сети и сплит-скрин останутся.",1579851761
